Role_Toolbar_Select_Delete_Cancel,"Invoke Delete Role via Toolbar and Cancel","",
Role_Toolbar_Select_Delete_Multiple_Confirm,"Invoke Delete Multiple Roles via Toolbar and Confirm","",
Role_Update_Change_Name,"Update existing Role Name","",
Role_Update_Change_Name_Duplicate_Expect_Error,"Update existing Role Name to an existing name, expect error","",
Role_Update_Blank_Name_Error,"Update existing Role with a Blank Name, expect error","",
Role_Update_Change_Permissions,"Update existing Role Permissions","",
Role_Update_Add_User,"Update existing Role Users - add user","",
Role_Update_Remove_User,"Update existing Role Users - remove user","",
MetaData_ActionMenu_Select_Properties,"Invoke MetaData Properties via Action Menu","",
DataField_Delete_MetaData_WorkflowIndexedBy_ExpectError,"Delete MetaData: workflow: Indexed By - Expect Error","",
DataField_Delete_MetaData_WorkflowGroupedBy_ExpectError,"Delete MetaData: workflow: Grouped By - Expect Error","",
DataField_Delete_MetaData_WorkflowPrompts_ExpectError,"Delete MetaData: workflow: prompts - Expect Error","",
DataField_Delete_MetaData_ReferencedByLineItem_ExpectError,"Delete MetaData: referenced by Line Item metadata- Expect Error","",
DataField_Delete_MetaData_ReferencedByLookupMappings_ExpectError,"Delete MetaData: referenced by Lookup Mappings- Expect Error","",
DataField_Create_Text_With_Defaults,"Create new MetaData: Text with all defaults","",
DataField_Create_Currency_With_Defaults,"Create new MetaData: Currency with all defaults","",
DataField_Create_Date_With_Defaults,"Create new MetaData: Date with all defaults","",
DataField_Create_Decimal_With_Defaults,"Create new MetaData: Decimal with all defaults","",
DataField_Create_Integer_With_Defaults,"Create new MetaData: Integer with all defaults","",
DataField_Create_Currency_StickyField,"Create new MetaData: Currency as Sticky Field","",
DataField_Create_Date_StickyField,"Create new MetaData: Date as Sticky Field","",
DataField_Create_Decimal_StickyField,"Create new MetaData: Decimal as Sticky Field","",
DataField_Create_Integer_StickyFields,"Create new MetaData: Integer as Sticky Field","",
DataField_Create_Text_With_DefaultValue,"Create new MetaData: Text with DefaultValue","",
DataField_Create_Currency_With_DefaultValue,"Create new MetaData: Currency with DefaultValue","",
DataField_Create_Date_With_DefaultValue,"Create new MetaData: Date with DefaultValue","",
DataField_Create_Decimal_With_DefaultValue,"Create new MetaData: Decimal with DefaultValue","",
DataField_Create_Integer_With_DefaultValue,"Create new MetaData: Integer with DefaultValue","",
DataField_Create_List_With_Defaults,"Create new MetaData: List with all defaults","",
DataField_Create_Currency_With_RexExValidation,"Create new MetaData: Currency With RexEx Validation","",
DataField_Create_Decimal_With_RexExValidation,"Create new MetaData: TDecimalext With RexEx Validation","",
DataField_Create_Integer_With_RexExValidation,"Create new MetaData: Integer With RexEx Validation","",
DataField_Create_Lookup_FileBound_Map_Property_WithOverwrite,"Create new MetaData: Lookup to FileBound & Map, Overwrite value","",
DataField_Create_Lookup_FileBound_Map_Property_WithoutOverwrite,"Create new MetaData: Lookup to FileBound & Map, do not Overwrite value","",
DataField_Create_Currency_Workflow_Assignment_All,"Create new MetaData: Currency: Assign Workflow ALL","",
DataField_Create_Date_Workflow_Assignment_All,"Create new MetaData:  Date: Assign Workflow ALL","",
DataField_Create_Decimal_Workflow_Assignment_All,"Create new MetaData:  Decimal Assign Workflow ALL","",
DataField_Create_Integer_Workflow_Assignment_All,"Create new MetaData: Integer: Assign Workflow ALL","",
DataField_Create_LineItems_Workflow_Assignment_All,"Create new MetaData: LineItems : Assign Workflow ALL","",
DataField_Create_List_Workflow_Assignment_All,"Create new MetaData: List : Assign Workflow ALL","",
DataField_Create_Lookup_Workflow_Assignment_All,"Create new MetaData: Lookup : Assign Workflow ALL","",
DataField_Create_Text_Workflow_Assignment_All,"Create new MetaData: Text : Assign Workflow ALL","",
DataField_Create_Currency_Workflow_Assignment_SelectedWorkflow,"Create new MetaData: Currency: Assign Selected Workflow","",
DataField_Create_Date_Workflow_Assignment_SelectedWorkflow,"Create new MetaData:  Date: Assign Selected Workflow","",
DataField_Create_Decimal_Workflow_Assignment_SelectedWorkflow,"Create new MetaData:  Decimal Assign Selected Workflow","",
DataField_Create_Integer_Workflow_Assignment_SelectedWorkflow,"Create new MetaData: Integer: Assign Selected Workflow","",
DataField_Create_LineItems_Workflow_Assignment_SelectedWorkflow,"Create new MetaData: LineItems : Assign Selected Workflow","",
DataField_Create_List_Workflow_Assignment_SelectedWorkflow,"Create new MetaData: List : Assign Selected Workflow","",
DataField_Create_Lookup_Workflow_Assignment_SelectedWorkflow,"Create new MetaData: Lookup : Assign Selected Workflow","",
DataField_Create_Text_Workflow_Assignment_SelectedWorkflow,"Create new MetaData: Text : Assign Selected Workflow","",
DataField_Create_List_Import_Items_Defaults,"Create new MetaData: List Import Items (Defaults)","",
DataField_Create_List_Import_Items_WithExistingItems,"Create new MetaData: List Import Items (Defaults With Items)","",
DataField_Create_List_Import_Items_ReplaceExistingItems,"Create new MetaData: List Import Items (Replace Existing Items)","",
DataField_Create_List_Import_Items_ContainsHeaderRow,"Create new MetaData: List Import Items (Contains Header Row)","",
DataField_Create_List_Import_Items_ContainsHeaderRow_ReplaceExisting,"Create new MetaData: List Import Items (Contains Header Row, Replace Existing)","",
DataField_Create_List_Import_Items_VerifyUI_As_ContainsHeaderRow_Changes,"Create new MetaData: List Import Items (Verify Column selections on changing 'Contains Header Row')","",
DataField_Create_List_Import_Items_Verify_ColumnSelects,"Create new MetaData: List Import Items (Verify Column selections Work)","",
DataField_Create_VerifyValidationListFor_Currency,"Create new MetaData: Verify Validation list for Currency","",
DataField_Create_VerifyValidationListFor_Decimal,"Create new MetaData: Verify Validation list for Decimal","",
DataField_Create_VerifyValidationListFor_Integer,"Create new MetaData: Verify Validation list for Integer ","",
DataField_Create_VerifyValidationListFor_List,"Create new MetaData: Verify Validation list for List ","",
DataField_Create_VerifyValidationListFor_Text,"Create new MetaData: Verify Validation list for Text ","",
DataField_Create_Currency_DisplayName_Duplicate_ExpectError,"Create MetaData: DisplayName To Duplicate (Currency) - Expect Error","",
DataField_Create_Date_DisplayName_Duplicate_ExpectError,"Create MetaData: DisplayName To Duplicate (Date) - Expect Error","",
DataField_Create_Decimal_DisplayName_Duplicate_ExpectError,"Create MetaData: DisplayName To Duplicate (Decimal) - Expect Error","",
DataField_Create_Integer_DisplayName_Duplicate_ExpectError,"Create MetaData: DisplayName To Duplicate (Integer) - Expect Error","",
DataField_Create_LineItems_DisplayName_Duplicate_ExpectError,"Create MetaData: DisplayName To Duplicate (LineItems) - Expect Error","",
DataField_Create_List_DisplayName_Duplicate_ExpectError,"Create MetaData: DisplayName To Duplicate (List) - Expect Error","",
DataField_Create_Lookup_DisplayName_Duplicate_ExpectError,"Create MetaData: DisplayName To Duplicate (Lookup) - Expect Error","",
DataField_Create_Text_DisplayName_Duplicate_ExpectError,"Create MetaData: DisplayName To Duplicate (Text) - Expect Error","",
